id,locality_name,Postal_code,Price,Type_of_property,Number_of_rooms,Living_area,Type_of_sale,Equipped_kitchen,Furnished,Open_fire,Terrace,Garden,Number_of_facades,Swimming_Pool,State_of_building
11469196,Vresse-sur-Semois,5550,169000.0,HOUSE,,155.0,FOR_SALE,True,False,False,20.0,,3.0,True,GOOD
11436274,TURNHOUT,2300,245000.0,MIXED_USE_BUILDING,,69.0,FOR_SALE,True,False,False,6.0,47.0,2.0,True,JUST_RENOVATED
20072941,NIEL,2845,245000.0,HOUSE,,132.0,FOR_SALE,False,False,False,6.0,12.0,2.0,True,TO_RENOVATE
20082023,ANTWERPEN,2660,279900.0,HOUSE,,120.0,FOR_SALE,False,False,False,,40.0,2.0,True,TO_BE_DONE_UP
11413806,RONSE,9600,335000.0,HOUSE,,150.0,FOR_SALE,True,False,False,,,2.0,True,GOOD
20199235,Ieper,8900,419000.0,MANSION,,145.0,FOR_SALE,False,False,False,10.0,40.0,1.0,False,TO_RESTORE
20129142,BORGERHOUT,2140,485000.0,HOUSE,,215.0,FOR_SALE,True,False,True,5.0,75.0,3.0,True,TO_BE_DONE_UP
20151318,ANTWERPEN,2050,549000.0,HOUSE,,190.0,FOR_SALE,True,False,False,,64.0,3.0,True,JUST_RENOVATED
20168666,ANTWERPEN,2050,649000.0,HOUSE,,212.0,FOR_SALE,True,False,False,25.0,180.0,3.0,True,GOOD
20157804,HOVE,2540,725000.0,VILLA,,320.0,FOR_SALE,True,False,False,,691.0,,True,GOOD
20057838,SINT-PIETERS-LEEUW,1600,769000.0,VILLA,,260.0,FOR_SALE,True,False,False,,1800.0,4.0,True,GOOD
20056295,Woluwe-Saint-Lambert,1200,795000.0,HOUSE,,197.0,FOR_SALE,False,False,False,28.0,50.0,2.0,False,GOOD
20159907,WETTEREN,9230,1295000.0,OTHER_PROPERTY,,320.0,FOR_SALE,False,False,False,11.0,42.0,4.0,True,GOOD
11014940,BIERGHES,1430,1695000.0,VILLA,,720.0,FOR_SALE,True,False,False,,,4.0,True,GOOD
20042985,Woluwe-Saint-Lambert,1200,1790000.0,APARTMENT_BLOCK,,550.0,FOR_SALE,False,False,False,20.0,60.0,2.0,False,AS_NEW
20201495,Maarkedal,9680,349000.0,FARMHOUSE,19.0,248.0,FOR_SALE,False,False,False,,,,True,TO_RENOVATE
20199088,Stabroek,2940,389000.0,HOUSE,14.0,144.0,FOR_SALE,True,False,False,,324.0,,True,GOOD
20188512,Stabroek,2940,399000.0,TOWN_HOUSE,,204.0,FOR_SALE,False,False,True,,175.0,3.0,False,GOOD
20168539,Sint-Niklaas,9100,549000.0,HOUSE,1.0,205.0,FOR_SALE,False,False,False,30.0,985.0,4.0,True,GOOD
20229763,Eernegem,8480,110000.0,HOUSE,7.0,162.0,FOR_SALE,True,False,False,,,,True,TO_RENOVATE
20230028,Aalst (9300),9300,230000.0,HOUSE,7.0,164.0,FOR_SALE,False,False,False,,,,True,
20231572,Dendermonde,9200,245000.0,HOUSE,,137.0,FOR_SALE,False,False,False,,,3.0,True,GOOD
11412924,Kruisem,9750,245000.0,MIXED_USE_BUILDING,20.0,260.0,FOR_SALE,False,False,False,,,,True,TO_RENOVATE
